"","frames_relative_to_switch","sister","Position","hurp","Position_dx"
"182",-7,"leading",27,0.579287796554052,2.704
"183",-7,"leading",28,0.577587860366067,2.808
"184",-7,"leading",29,0.572841521611552,2.912
"185",-7,"leading",30,0.569593265042896,3.016
"186",-7,"leading",31,0.567927490661992,3.12
"187",-6,"trailing",1,0.582060453129437,0
"188",-6,"trailing",2,0.609218976152366,0.104
"189",-6,"trailing",3,0.633956683795342,0.208
"190",-6,"trailing",4,0.648652029390336,0.312
"191",-6,"trailing",5,0.654640657785461,0.416
"192",-6,"trailing",6,0.655007980312004,0.52
"193",-6,"trailing",7,0.652473120549906,0.624
"194",-6,"trailing",8,0.648299821717491,0.728
"195",-6,"trailing",9,0.644827145882392,0.832
"196",-6,"trailing",10,0.64042125991466,0.936
"197",-6,"trailing",11,0.637436086144384,1.04
"198",-6,"trailing",12,0.63206009149696,1.144
"199",-6,"trailing",13,0.626915081275656,1.248
"200",-6,"trailing",14,0.623991443132654,1.352
"201",-6,"trailing",15,0.620170606965378,1.456
"202",-6,"trailing",16,0.617529213059965,1.56
"203",-6,"trailing",17,0.612583231434773,1.664
"204",-6,"trailing",18,0.609971767992662,1.768
"205",-6,"trailing",19,0.605278711915981,1.872
"206",-6,"trailing",20,0.599319484827861,1.976
"207",-6,"trailing",21,0.593347513348724,2.08
"208",-6,"trailing",22,0.588679592707495,2.184
"209",-6,"trailing",23,0.584841186576602,2.288
"210",-6,"trailing",24,0.582440313790357,2.392
"211",-6,"trailing",25,0.579286383763506,2.496
"212",-6,"trailing",26,0.575715393272948,2.6
"213",-6,"trailing",27,0.572825482970474,2.704
"214",-6,"trailing",28,0.570192017118291,2.808
"215",-6,"trailing",29,0.566939905490848,2.912
"216",-6,"trailing",30,0.563824077355323,3.016
"217",-6,"trailing",31,0.561659963226668,3.12
"218",-6,"leading",1,0.545169574197279,0
"219",-6,"leading",2,0.551177452571035,0.104
"220",-6,"leading",3,0.557869104996217,0.208
"221",-6,"leading",4,0.564938779428992,0.312
"222",-6,"leading",5,0.573185675875722,0.416
"223",-6,"leading",6,0.581062298872355,0.52
"224",-6,"leading",7,0.589084943028245,0.624
"225",-6,"leading",8,0.596302656860282,0.728
"226",-6,"leading",9,0.602693791534857,0.832
"227",-6,"leading",10,0.608530891671587,0.936
"228",-6,"leading",11,0.61337165361079,1.04
"229",-6,"leading",12,0.615794002720495,1.144
"230",-6,"leading",13,0.61969123726386,1.248
"231",-6,"leading",14,0.621519587186228,1.352
"232",-6,"leading",15,0.621466260151194,1.456
"233",-6,"leading",16,0.620584682346273,1.56
"234",-6,"leading",17,0.618030625809611,1.664
"235",-6,"leading",18,0.615442017898908,1.768
"236",-6,"leading",19,0.611429590956575,1.872
"237",-6,"leading",20,0.60784810679689,1.976
"238",-6,"leading",21,0.604144582306736,2.08
"239",-6,"leading",22,0.599893808456748,2.184
"240",-6,"leading",23,0.596216155684455,2.288
"241",-6,"leading",24,0.593720784850681,2.392
"242",-6,"leading",25,0.590105329947471,2.496
"243",-6,"leading",26,0.585199566106767,2.6
"244",-6,"leading",27,0.58144705163731,2.704
"245",-6,"leading",28,0.579009203045174,2.808
"246",-6,"leading",29,0.575417383114662,2.912
"247",-6,"leading",30,0.571628034876762,3.016
"248",-6,"leading",31,0.571770055599395,3.12
"249",-5,"trailing",1,0.589514305711098,0
"250",-5,"trailing",2,0.619596074844475,0.104
"251",-5,"trailing",3,0.646260311033946,0.208
"252",-5,"trailing",4,0.661892997573417,0.312
"253",-5,"trailing",5,0.665735104546735,0.416
"254",-5,"trailing",6,0.665761161317807,0.52
"255",-5,"trailing",7,0.662231403489616,0.624
"256",-5,"trailing",8,0.656820024715925,0.728
"257",-5,"trailing",9,0.652938296267425,0.832
"258",-5,"trailing",10,0.647983468754835,0.936
"259",-5,"trailing",11,0.642122234456171,1.04
"260",-5,"trailing",12,0.638913319358294,1.144
"261",-5,"trailing",13,0.632563967422927,1.248
"262",-5,"trailing",14,0.628263940914508,1.352
"263",-5,"trailing",15,0.624132067248111,1.456
"264",-5,"trailing",16,0.61922435176172,1.56
"265",-5,"trailing",17,0.613854709356335,1.664
"266",-5,"trailing",18,0.611334145177408,1.768
"267",-5,"trailing",19,0.605961840131674,1.872
"268",-5,"trailing",20,0.600263472748876,1.976
"269",-5,"trailing",21,0.594464186348291,2.08
"270",-5,"trailing",22,0.589544571855935,2.184
"271",-5,"trailing",23,0.58709030626292,2.288
"272",-5,"trailing",24,0.584149742933963,2.392
"273",-5,"trailing",25,0.580863058909747,2.496
"274",-5,"trailing",26,0.578027119488848,2.6
"275",-5,"trailing",27,0.574748935809843,2.704
"276",-5,"trailing",28,0.571596532436768,2.808
"277",-5,"trailing",29,0.567501980757674,2.912
"278",-5,"trailing",30,0.564796142632134,3.016
"279",-5,"trailing",31,0.561543630433169,3.12
"280",-5,"leading",1,0.547168867939711,0
"281",-5,"leading",2,0.551841035183178,0.104
"282",-5,"leading",3,0.557613681927004,0.208
"283",-5,"leading",4,0.564124159107674,0.312
"284",-5,"leading",5,0.571710729941283,0.416
"285",-5,"leading",6,0.578937402313249,0.52
"286",-5,"leading",7,0.587873377313263,0.624
